ID,Modelo,Ano,Concessionaria,Preco,Combustivel,Cor
6a0ccd88f42e1bfee28dbcf8,MONTANA PREMIER AT (RFE),25/26,GM SANTA CLARA - STOLL.SANTA CLARA,174990,Flex,PRETO OURO NEGRO
6a0ccd89f42e1bfee28dbcf9,MONTANA PREMIER AT (RFE),26/26,GM SANTA CLARA - STOLL.SANTA CLARA,174990,Flex,CINZA RUSH
6a0ccda8f42e1bfee28dbd35,MONTANA PREMIER AT (RFE),24/25,GM SANTA CLARA - RONALDO.CLARA,162990,Flex,AZUL ECLIPSE
6a0dc19c1df8a834c2994b23,MERCEDES SPRINTER 517 17+1 TETO ALTO 14M MEC.,25/26,MERCEDES UTILITARIOS RODOBENS - LUANA.RODOBENS,330200,Diesel,BRANCO
6a0de7244f9004dc764b9319,MERCEDES SPRINTER 517 20+1 TETO ALTO 14M MEC.,26/27,MERCEDES UTILITARIOS RODOBENS - LUANA.RODOBENS,453000,Diesel,CINZA
6a0de86d772f336e82acf275,MERCEDES SPRINTER 517 20+1 TETO ALTO 14M MEC.,26/27,MERCEDES UTILITARIOS RODOBENS - LUANA.RODOBENS,447614.09,Diesel,BRANCO
6a0e039463d3fa69065eb5b4,TRACKER TURBO AT (R8B),26/26,GM JORLAN - SABRINA.BRA,114990,Flex,VERMELHO SCARLET
6a0e039563d3fa69065eb5b5,TRACKER TURBO AT (R8B),26/26,GM JORLAN - SABRINA.BRA,114990,Flex,PRATA SHARK
6a0e039563d3fa69065eb5b6,TRACKER TURBO AT (R8B),26/26,GM JORLAN - SABRINA.BRA,114990,Flex,PRETO OURO NEGRO
6a0e039663d3fa69065eb5b7,TRACKER TURBO AT (R8B),26/26,GM JORLAN - SABRINA.BRA,114990,Flex,CINZA RUSH
6a0e039763d3fa69065eb5b8,TRACKER TURBO AT (R8B),26/26,GM JORLAN - SABRINA.BRA,114990,Flex,AZUL BOREAL
6a0e039763d3fa69065eb5b9,TRACKER TURBO AT (R8B),26/26,GM JORLAN - SABRINA.BRA,114990,Flex,BRANCO SUMMIT
6a0efbd65e6a6d96c1dbcd74,TRACKER LTZ TURBO AT (R8F),26/26,GM JORLAN - SABRINA.BRA,148990,Flex,CINZA RUSH
6a0f0cc370abd3fd42b18dff,MERCEDES SPRINTER 517 20+1 TETO ALTO 14M MEC.,26/27,MERCEDES UTILITARIOS RODOBENS - LUANA.RODOBENS,413500,Diesel,CINZA
6a0f0d5870abd3fd42b18e00,MERCEDES SPRINTER 517 20+1 TETO ALTO 14M MEC.,26/27,MERCEDES UTILITARIOS RODOBENS - LUANA.RODOBENS,407205,Diesel,BRANCO
6a0f5e45dbf6ea5562f8f652,GEELY EX5 MAX SIP 218CV (ELETRICO),26/26,GRUPO ATRI,204900,Elétrico,PRATA
6a1049fb629937f6fc87f55b,GEELY EX5 PRÓ SIP 218CV (ELETRICO),26/26,GEELY JORLAN - RAFAEL.GEELY,215800,Elétrico,PRATA
6a14568b78a33a5f6a137303,DOLPHIN MINI GS (ELETRICO),26/27,BYD BALI,117000,Elétrico,AZUL
6a14570573972992e2060ae0,DOLPHIN MINI GS (ELETRICO),26/27,BYD STEFANI,119990,Elétrico,PRETO
6a14593f33d55ef47e4204e6,DOLPHIN MINI GS (ELETRICO),26/27,BYD SAGA - MONICA,118000,Elétrico,PRETO
6a14596ed9454da1c68b8a7c,DOLPHIN MINI GS (ELETRICO),26/27,BYD SAGA - MONICA,118000,Elétrico,AZUL
6a145ef6e7d7ef3eb0b6ff04,DOLPHIN MINI GS (ELETRICO),26/27,BYD ALIANÇA - ALEX,119990,Elétrico,BRANCO
6a147bd6c72fb77e80e10517,DOLPHIN SE (ELETRICO),26/27,BYD BALI,155000,Elétrico,PRETO
6a147cf7e0f9cb6c3e8de29f,GEELY EX2 MAX SIP 116CV (ELETRICO),26/26,GEELY DRSUL - BETO,134748,Elétrico,BRANCO
6a147e10400512a3a7f02539,GEELY EX2 MAX SIP 116CV (ELETRICO),26/26,GEELY DRSUL - BETO,134748,Elétrico,PRATA
6a147fb510c6e797967c7a66,GEELY EX2 MAX SIP 116CV (ELETRICO),26/26,GRUPO ATRI,131500,Elétrico,BRANCO
6a147fef9f1ab7dfc065df8d,GEELY EX2 MAX SIP 116CV (ELETRICO),26/26,GRUPO ATRI,131500,Elétrico,VERDE
6a1480259f1ab7dfc065df8e,GEELY EX2 MAX SIP 116CV (ELETRICO),26/26,GRUPO ATRI,131500,Elétrico,CINZA
6a1480539f1ab7dfc065df8f,GEELY EX2 MAX SIP 116CV (ELETRICO),26/26,GRUPO ATRI,131500,Elétrico,PRATA
6a1480e29f1ab7dfc065df90,GEELY EX2 PRÓ SIP 95CV (ELETRICO),26/26,GRUPO ATRI,119500,Elétrico,BRANCO
6a14811b31a3a3948f1f406d,GEELY EX2 PRÓ SIP 95CV (ELETRICO),26/26,GRUPO ATRI,119500,Elétrico,CINZA
6a14814d2897a6a35a4f20dd,GEELY EX2 PRÓ SIP 95CV (ELETRICO),26/26,GRUPO ATRI,119500,Elétrico,PRATA
6a14817ca3edc5683d9c0af9,GEELY EX2 PRÓ SIP 95CV (ELETRICO),26/26,GRUPO ATRI,119500,Elétrico,VERDE
6a1486d98c7548483078a5b0,DOLPHIN MINI GS (ELETRICO),26/27,BYD ITAVEMA - ADRIANA.ITAVEMA,118500,Elétrico,AZUL
6a1487175f2c2a260235b0af,DOLPHIN MINI GS (ELETRICO),26/27,BYD ITAVEMA - ADRIANA.ITAVEMA,118500,Elétrico,BRANCO
6a148f6b92b38ead3a6b313c,SPARK EUV ACTIV (PEA),25/26,GM AMG - LETICIA.AMG,154990,Elétrico,BRANCO CUPUACU
6a148f6c92b38ead3a6b313d,SPARK EUV ACTIV (PEA),25/26,GM AMG - LETICIA.AMG,154990,Elétrico,PRETO RIO NEGRO
6a148f6c92b38ead3a6b313e,ONIX HATCH MT ASPIRADO (R7J),26/26,GM AMG - LETICIA.AMG,103490,Flex,PRETO OURO NEGRO
6a148f6d92b38ead3a6b313f,ONIX HATCH MT ASPIRADO (R7J),26/26,GM AMG - LETICIA.AMG,103490,Flex,VERMELHO SCARLET
6a148f6d92b38ead3a6b3140,ONIX HATCH MT TURBO (RFL),25/26,GM AMG - LETICIA.AMG,104940,Flex,BRANCO SUMMIT
6a148f6e92b38ead3a6b3141,ONIX HATCH AT TURBO (R7K),26/26,GM AMG - LETICIA.AMG,116690,Flex,PRATA SHARK
6a148f6e92b38ead3a6b3142,ONIX HATCH LT TURBO AT (RFO),25/26,GM AMG - LETICIA.AMG,120190,Flex,CINZA DRAKE
6a148f6f92b38ead3a6b3143,ONIX HATCH LT TURBO AT (RFO),25/26,GM AMG - LETICIA.AMG,118690,Flex,VERMELHO SCARLET
6a148f6f92b38ead3a6b3144,ONIX HATCH LTZ TURBO AT (RGL),25/26,GM AMG - LETICIA.AMG,120190,Flex,AZUL BOREAL
6a148f7092b38ead3a6b3145,ONIX HATCH LTZ TURBO AT (RGL),25/26,GM AMG - LETICIA.AMG,121890,Flex,PRATA SHARK
6a148f7092b38ead3a6b3146,ONIX HATCH PREMIER TURBO AT (R7R),25/26,GM AMG - LETICIA.AMG,125340,Flex,BRANCO SUMMIT
6a148f7192b38ead3a6b3147,ONIX HATCH PREMIER TURBO AT (R7R),25/26,GM AMG - LETICIA.AMG,125340,Flex,BRANCO SUMMIT
6a148f7192b38ead3a6b3148,ONIX HATCH PREMIER TURBO AT (R7R),25/26,GM AMG - LETICIA.AMG,126090,Flex,VERMELHO SCARLET
6a148f7292b38ead3a6b3149,ONIX HATCH PREMIER TURBO AT (R7R),25/26,GM AMG - LETICIA.AMG,126090,Flex,PRETO OURO NEGRO
6a148f7392b38ead3a6b314a,ONIX HATCH RS TURBO AT (RGN),25/26,GM AMG - LETICIA.AMG,126240,Flex,BRANCO SUMMIT
6a148f7392b38ead3a6b314b,ONIX HATCH RS TURBO AT (RGN),25/26,GM AMG - LETICIA.AMG,127090,Flex,CINZA DRAKE
6a148f7492b38ead3a6b314c,ONIX SEDAN PLUS LTZ TURBO AT (PRB),26/26,GM AMG - LETICIA.AMG,124390,Flex,AZUL BOREAL
